label,alpha,beta
0,0.116,0.104
0,0.098,0.152
0,0.064,0.138
0,0.15,0.196
0,0.188,0.116
0,0.13,0.134
1,0.824,0.852
0,0.16,0.184
1,0.812,0.832
1,0.816,0.84
1,0.854,0.832
0,0.14,0.168
1,0.768,0.82
1,0.792,0.842
0,0.088,0.164
1,0.888,0.844
0,0.19,0.184
1,0.824,0.844
1,0.84,0.85
0,0.104,0.168
1,0.81,0.872
0,0.194,0.154
1,0.85,0.854
1,0.784,0.862
1,0.86,0.802
0,0.104,0.206
0,0.1,0.144
1,0.848,0.77
0,0.138,0.176
1,0.824,0.824
0,0.144,0.184
1,0.824,0.838
0,0.158,0.138
0,0.1,0.202
0,0.07,0.182
0,0.126,0.178
1,0.862,0.814
1,0.842,0.836
0,0.062,0.188
0,0.142,0.126
1,0.808,0.828
0,0.192,0.182
0,0.164,0.17
1,0.782,0.864
1,0.83,0.812
0,0.18,0.12
0,0.174,0.156
1,0.83,0.846
0,0.118,0.162
0,0.114,0.156
0,0.13,0.144
1,0.822,0.84
0,0.146,0.176
1,0.838,0.876
1,0.806,0.842
0,0.106,0.134
0,0.17,0.188
1,0.808,0.804
1,0.836,0.81
0,0.156,0.182
0,0.158,0.196
1,0.85,0.838
1,0.84,0.82
0,0.128,0.212
1,0.84,0.848
1,0.854,0.83
1,0.808,0.828
0,0.176,0.17
1,0.824,0.822
0,0.108,0.176
1,0.866,0.824
1,0.848,0.85
1,0.8,0.84
0,0.13,0.164
1,0.81,0.81
0,0.174,0.156
0,0.102,0.158
1,0.828,0.834
0,0.11,0.15
1,0.826,0.832
1,0.834,0.844
0,0.122,0.134
1,0.834,0.78
1,0.806,0.82
0,0.12,0.144
1,0.862,0.832
0,0.17,0.196
1,0.832,0.834
0,0.136,0.198
1,0.856,0.802
1,0.816,0.84
1,0.782,0.852
0,0.104,0.138
1,0.814,0.868
1,0.864,0.796
1,0.816,0.86
0,0.15,0.186
1,0.79,0.854
0,0.116,0.124
0,0.122,0.136
1,0.816,0.834
0,0.158,0.132
1,0.832,0.81
1,0.844,0.834
1,0.786,0.838
0,0.14,0.146
0,0.14,0.15
1,0.844,0.852
0,0.18,0.126
0,0.144,0.164
1,0.816,0.852
0,0.124,0.182
1,0.87,0.844
1,0.838,0.8
1,0.82,0.86
1,0.794,0.866
0,0.17,0.17
0,0.15,0.116
1,0.798,0.81
1,0.882,0.808
0,0.184,0.13
1,0.848,0.866
0,0.098,0.222
1,0.802,0.84
1,0.894,0.786
0,0.146,0.202
1,0.816,0.842
0,0.114,0.14
1,0.854,0.848
0,0.118,0.176
0,0.176,0.172
0,0.12,0.15
1,0.834,0.814
1,0.8,0.838
1,0.794,0.858
0,0.2,0.142
1,0.844,0.82
1,0.822,0.842
1,0.8,0.816
1,0.774,0.8
1,0.838,0.806
0,0.132,0.148
0,0.154,0.158
1,0.848,0.836
0,0.188,0.13
0,0.102,0.164
1,0.8,0.796
0,0.134,0.164
0,0.128,0.166
1,0.848,0.79
1,0.826,0.834
0,0.134,0.148
0,0.152,0.162
1,0.852,0.832
0,0.158,0.174
0,0.148,0.154
1,0.834,0.824
0,0.124,0.164
0,0.138,0.14
0,0.118,0.13
0,0.13,0.148
1,0.794,0.848
0,0.144,0.158
0,0.126,0.142
0,0.136,0.182
1,0.864,0.814
1,0.85,0.818
1,0.858,0.82
0,0.096,0.158
1,0.864,0.804
0,0.118,0.17
0,0.166,0.14
1,0.83,0.81
0,0.144,0.218
0,0.202,0.144
1,0.812,0.814
0,0.102,0.192
0,0.15,0.09
1,0.848,0.864
1,0.802,0.81
1,0.866,0.88
0,0.122,0.174
0,0.072,0.138
0,0.178,0.096
1,0.828,0.832
1,0.834,0.822
0,0.126,0.15
1,0.804,0.848
1,0.778,0.8
0,0.126,0.126
1,0.844,0.822
0,0.144,0.148
1,0.8,0.854
0,0.134,0.156
0,0.154,0.158
0,0.116,0.198
0,0.088,0.164
1,0.808,0.844
1,0.856,0.844
0,0.166,0.152
1,0.734,0.838
1,0.88,0.808
1,0.78,0.886
0,0.158,0.118
1,0.844,0.782
1,0.782,0.838
1,0.818,0.818
0,0.128,0.188
1,0.862,0.778
1,0.796,0.816
1,0.806,0.836
1,0.826,0.846
0,0.156,0.158
0,0.128,0.138
0,0.158,0.14
0,0.15,0.172
0,0.16,0.146
1,0.822,0.828
1,0.79,0.85
0,0.184,0.166
1,0.776,0.842
0,0.11,0.166
0,0.132,0.174
1,0.802,0.82
0,0.168,0.134
0,0.116,0.172
0,0.154,0.146
1,0.786,0.834
1,0.836,0.824
1,0.774,0.798
1,0.786,0.846
0,0.152,0.186
1,0.824,0.82
1,0.8,0.814
0,0.122,0.156
1,0.808,0.788
0,0.19,0.134
0,0.08,0.146
0,0.136,0.134
0,0.164,0.17
0,0.174,0.164
0,0.184,0.138
1,0.798,0.798
0,0.152,0.116
0,0.148,0.184
0,0.15,0.174
1,0.792,0.874
0,0.098,0.144
1,0.842,0.83
1,0.746,0.862
0,0.152,0.164
0,0.154,0.114
1,0.85,0.806
0,0.1,0.108
0,0.088,0.204
1,0.772,0.826
1,0.836,0.816
1,0.76,0.806
1,0.792,0.836
1,0.862,0.858
0,0.092,0.166
1,0.792,0.81
0,0.116,0.154
1,0.852,0.872
0,0.116,0.126
1,0.852,0.842
0,0.14,0.152
1,0.842,0.808
1,0.776,0.828
1,0.772,0.85
0,0.126,0.17
1,0.812,0.83
0,0.126,0.136
0,0.1,0.182
0,0.184,0.12
1,0.782,0.828
1,0.792,0.854
0,0.106,0.158
0,0.11,0.15
0,0.198,0.15
0,0.118,0.172
0,0.114,0.15
1,0.806,0.798
0,0.076,0.172
0,0.18,0.114
1,0.816,0.816
1,0.772,0.794
0,0.146,0.15
1,0.844,0.828
1,0.792,0.81
0,0.134,0.17
0,0.134,0.2
1,0.84,0.796
0,0.15,0.17
0,0.158,0.16
0,0.064,0.114
1,0.806,0.788
1,0.806,0.838
0,0.116,0.14
0,0.156,0.118
1,0.846,0.796
0,0.186,0.184
0,0.148,0.176
0,0.122,0.166
0,0.15,0.14
0,0.166,0.15
0,0.134,0.192
1,0.812,0.828
0,0.126,0.156
0,0.108,0.174
1,0.848,0.862
0,0.126,0.178
1,0.8,0.806
1,0.808,0.81
0,0.072,0.136
0,0.146,0.192
1,0.796,0.834
0,0.098,0.152
1,0.814,0.864
0,0.082,0.15
0,0.184,0.162
1,0.834,0.852
0,0.158,0.186
0,0.082,0.12
0,0.182,0.198
1,0.778,0.87
0,0.136,0.17
1,0.772,0.862
0,0.162,0.15
1,0.822,0.822
0,0.108,0.164
1,0.81,0.804
0,0.18,0.156
0,0.132,0.128
0,0.152,0.192
1,0.822,0.886
1,0.798,0.802
1,0.766,0.806
0,0.128,0.166
1,0.796,0.844
1,0.788,0.864
0,0.098,0.194
0,0.15,0.142
0,0.134,0.096
0,0.194,0.162
0,0.098,0.19
1,0.79,0.814
1,0.844,0.84
1,0.784,0.852
0,0.14,0.132
0,0.132,0.126
0,0.12,0.174
1,0.84,0.832
1,0.822,0.8
0,0.172,0.152
0,0.114,0.182
0,0.168,0.166
1,0.772,0.84
1,0.822,0.824
1,0.786,0.806
0,0.136,0.166
1,0.812,0.822
1,0.798,0.846
0,0.154,0.158
1,0.78,0.806
1,0.784,0.782
0,0.096,0.136
1,0.818,0.796
1,0.848,0.836
0,0.194,0.118
1,0.79,0.858
0,0.116,0.158
1,0.772,0.818
1,0.768,0.842
1,0.836,0.876
1,0.798,0.836
1,0.778,0.812
0,0.14,0.172
0,0.108,0.166
0,0.154,0.1
1,0.814,0.862
0,0.146,0.186
1,0.794,0.842
1,0.79,0.806
0,0.154,0.178
1,0.818,0.808
1,0.828,0.814
1,0.802,0.808
0,0.178,0.12
1,0.748,0.866
0,0.104,0.192
0,0.096,0.152
1,0.802,0.792
0,0.148,0.166
1,0.772,0.828
0,0.132,0.134
0,0.148,0.08
1,0.83,0.79
1,0.798,0.804
0,0.136,0.156
0,0.13,0.162
1,0.862,0.818
1,0.8,0.848
1,0.798,0.792
0,0.152,0.13
0,0.122,0.2
0,0.108,0.122
0,0.138,0.162
1,0.776,0.848
1,0.788,0.824
0,0.166,0.116
0,0.168,0.162
0,0.172,0.196
0,0.12,0.136
0,0.096,0.122
0,0.138,0.152
1,0.794,0.804
1,0.792,0.774
0,0.112,0.168
1,0.772,0.87
0,0.12,0.162
1,0.822,0.842
1,0.858,0.858
1,0.788,0.838
1,0.85,0.838
1,0.82,0.778
0,0.12,0.144
0,0.138,0.162
0,0.164,0.17
0,0.13,0.158
0,0.112,0.182
0,0.134,0.18
1,0.788,0.826
0,0.162,0.16
0,0.164,0.146
1,0.858,0.838
0,0.104,0.154
1,0.822,0.818
0,0.176,0.17
0,0.134,0.142
0,0.112,0.156
0,0.136,0.142
0,0.182,0.162
1,0.798,0.844
1,0.81,0.826
0,0.15,0.186
1,0.754,0.846
1,0.776,0.85
1,0.81,0.776
1,0.828,0.83
1,0.802,0.83
0,0.162,0.172
1,0.836,0.828
1,0.868,0.82
1,0.848,0.76
1,0.794,0.842
1,0.768,0.808
1,0.808,0.778
0,0.226,0.138
1,0.786,0.824
0,0.19,0.158
0,0.136,0.16
0,0.19,0.162
1,0.778,0.76
1,0.774,0.808
1,0.768,0.812
0,0.136,0.146
0,0.176,0.162
1,0.808,0.852
0,0.158,0.21
1,0.844,0.834
0,0.176,0.14
1,0.838,0.832
1,0.794,0.818
1,0.784,0.818
0,0.138,0.142
0,0.142,0.154
0,0.094,0.158
0,0.12,0.18
0,0.142,0.152
1,0.822,0.788
1,0.834,0.832
1,0.796,0.796
1,0.812,0.82
0,0.194,0.178
0,0.156,0.176
1,0.842,0.836
1,0.764,0.78
0,0.18,0.18
0,0.128,0.14
1,0.8,0.796
1,0.788,0.786
0,0.146,0.184
1,0.822,0.776
1,0.766,0.81
1,0.796,0.834
1,0.798,0.808
0,0.146,0.168
1,0.792,0.86
1,0.868,0.842
1,0.798,0.836
1,0.786,0.806
1,0.81,0.776
1,0.812,0.79
0,0.186,0.158
0,0.176,0.17
1,0.764,0.826
0,0.174,0.184
0,0.164,0.182
1,0.796,0.794
0,0.184,0.116
1,0.798,0.838
0,0.188,0.144
0,0.166,0.132
0,0.172,0.178
0,0.16,0.22
1,0.814,0.848
0,0.18,0.122
0,0.156,0.122
0,0.142,0.148
1,0.85,0.812
0,0.142,0.176
1,0.838,0.854
1,0.802,0.836
1,0.804,0.818
1,0.836,0.822
1,0.804,0.82
0,0.134,0.208
1,0.792,0.788
0,0.2,0.162
0,0.122,0.184
0,0.21,0.134
0,0.148,0.178
0,0.194,0.158
0,0.146,0.218
0,0.188,0.17
0,0.136,0.13
1,0.782,0.79
0,0.174,0.144
1,0.816,0.808
0,0.104,0.164
0,0.124,0.156
1,0.834,0.84
0,0.154,0.134
0,0.14,0.186
0,0.132,0.19
0,0.158,0.202
0,0.136,0.202
0,0.156,0.176
0,0.19,0.142
0,0.11,0.18
1,0.784,0.818
1,0.796,0.822
1,0.806,0.796
1,0.83,0.814
1,0.816,0.85
1,0.794,0.796
1,0.766,0.87
0,0.15,0.14
1,0.778,0.83
0,0.128,0.144
1,0.788,0.822
1,0.826,0.844
0,0.16,0.134
0,0.186,0.15
1,0.846,0.866
0,0.166,0.154
0,0.132,0.2
0,0.156,0.152
1,0.832,0.804
1,0.804,0.846
0,0.102,0.152
1,0.856,0.844
0,0.154,0.172
1,0.82,0.846
1,0.774,0.84
0,0.116,0.206
0,0.142,0.154
1,0.776,0.824
0,0.158,0.132
1,0.826,0.816
1,0.808,0.8
0,0.096,0.16
1,0.778,0.824
0,0.186,0.168
1,0.796,0.848
0,0.094,0.186
1,0.816,0.806
1,0.798,0.816
1,0.81,0.812
1,0.868,0.788
0,0.206,0.146
1,0.868,0.764
1,0.768,0.842
1,0.826,0.806
0,0.21,0.15
1,0.794,0.812
1,0.802,0.852
0,0.16,0.14
0,0.156,0.194
1,0.794,0.82
1,0.83,0.778
0,0.148,0.182
0,0.136,0.16
0,0.196,0.13
1,0.792,0.834
1,0.8,0.84
1,0.794,0.768
1,0.792,0.808
1,0.808,0.794
0,0.174,0.188
1,0.754,0.814
0,0.224,0.15
0,0.118,0.158
1,0.85,0.81
1,0.822,0.81
1,0.78,0.792
1,0.79,0.864
1,0.776,0.848
1,0.846,0.818
0,0.186,0.196
1,0.798,0.814
0,0.152,0.176
0,0.134,0.174
1,0.794,0.872
0,0.158,0.192
0,0.208,0.192
0,0.156,0.16
1,0.782,0.828
0,0.168,0.138
1,0.82,0.802
0,0.144,0.176
1,0.796,0.792
1,0.798,0.856
1,0.812,0.808
1,0.846,0.794
0,0.186,0.116
0,0.162,0.17
0,0.144,0.212
0,0.124,0.218
1,0.812,0.79
1,0.788,0.812
1,0.85,0.842
1,0.806,0.826
1,0.81,0.87
1,0.796,0.85
0,0.156,0.18
1,0.784,0.844
1,0.802,0.822
0,0.174,0.15
1,0.794,0.82
1,0.794,0.802
0,0.19,0.146
1,0.8,0.814
0,0.134,0.178
1,0.836,0.848
1,0.786,0.82
1,0.784,0.834
0,0.154,0.154
1,0.81,0.778
1,0.792,0.774
0,0.142,0.176
1,0.826,0.846
0,0.148,0.154
1,0.738,0.832
0,0.13,0.19
1,0.818,0.814
0,0.166,0.132
1,0.818,0.824
0,0.158,0.184
1,0.81,0.82
1,0.82,0.822
0,0.15,0.174
1,0.844,0.796
1,0.8,0.844
1,0.776,0.816
1,0.77,0.828
0,0.19,0.194
1,0.764,0.874
1,0.8,0.85
0,0.11,0.168
0,0.128,0.178
1,0.83,0.822
0,0.142,0.222
1,0.762,0.83
1,0.762,0.848
1,0.778,0.892
0,0.154,0.164
0,0.16,0.166
0,0.184,0.186
1,0.834,0.818
0,0.16,0.166
1,0.746,0.804
1,0.782,0.834
1,0.764,0.806
0,0.134,0.14
0,0.14,0.12
1,0.786,0.824
1,0.76,0.81
