label,alpha,beta
1,0.768,0.15
0,0.536,0.016
0,0.476,0.208
1,0.804,0.122
0,0.102,0.49
0,0.01,0.668
1,0.136,0.132
1,0.386,0.918
0,0.466,0.314
1,0.752,0.082
1,0.444,0.832
1,0.338,0.83
0,0.456,0.62
1,0.09,0.814
0,0.778,0.522
1,0.242,0.808
1,0.8,0.306
0,0.552,0.476
0,0.256,0.586
0,0.304,0.558
1,0.392,0.838
0,0.454,0.478
1,0.022,0.234
0,0.42,0.322
0,0.006,0.476
1,0.892,0.038
1,0.676,0.85
1,0.406,0.852
1,0.842,0.154
1,0.158,0.146
0,0.03,0.582
1,0.384,0.902
1,0.774,0.064
1,0.792,0.188
0,0.694,0.558
0,0.74,0.468
0,0.122,0.596
1,0.286,0.8
1,0.202,0.84
0,0.85,0.518
1,0.756,0.896
1,0.888,0.134
1,0.23,0.068
0,0.89,0.624
0,0.796,0.532
0,0.228,0.56
1,0.106,0.192
1,0.256,0.858
1,0.932,0.736
0,0.232,0.586
1,0.796,0.852
0,0.372,0.472
1,0.28,0.83
1,0.508,0.872
0,0.008,0.494
0,0.298,0.388
1,0.552,0.742
0,0.552,0.054
1,0.45,0.73
1,0.778,0.16
0,0.46,0.448
0,0.624,0.36
0,0.382,0.03
0,0.156,0.524
1,0.784,0.088
0,0.542,0.51
0,0.498,0.066
1,0.52,0.972
0,0.52,0.528
1,0.228,0.776
1,0.076,0.162
1,0.216,0.852
0,0.536,0.188
0,0.36,0.572
1,0.074,0.192
1,0.52,0.826
0,0.268,0.578
0,0.328,0.374
0,0.546,0.408
0,0.008,0.466
0,0.16,0.606
0,0.482,0.102
0,0.42,0.328
1,0.334,0.922
1,0.89,0.89
0,0.31,0.57
1,0.936,0.206
0,0.442,0.55
1,0.946,0.772
1,0.828,0.248
1,0.788,0.926
0,0.348,0.224
1,0.806,0.284
0,0.524,0.118
0,0.852,0.584
1,0.652,0.81
0,0.554,0.47
1,0.09,0.862
1,0.36,0.79
1,0.432,0.776
0,0.496,0.428
1,0.792,0.726
0,0.472,0.036
1,0.814,0.194
1,0.868,0.214
0,0.432,0.452
1,0.976,0.116
1,0.19,0.216
0,0.944,0.464
0,0.472,0.45
1,0.168,0.176
0,0.514,0.158
0,0.034,0.482
0,0.236,0.374
0,0.116,0.518
0,0.612,0.62
0,0.706,0.392
0,0.506,0.178
0,0.354,0.014
1,0.83,0.192
0,0.734,0.682
1,0.348,0.822
0,0.086,0.546
1,0.838,0.12
1,0.19,0.816
1,0.21,0.844
0,0.45,0.23
0,0.216,0.474
1,0.372,0.932
1,0.784,0.69
1,0.876,0.824
1,0.124,0.066
1,0.43,0.826
0,0.326,0.61
0,0.352,0.508
1,0.286,0.798
1,0.282,0.742
0,0.406,0.352
1,0.916,0.184
1,0.964,0.126
0,0.502,0.034
0,0.442,0.392
1,0.224,0.106
0,0.494,0.522
1,0.516,0.8
1,0.714,0.95
1,0.772,0.212
1,0.52,0.798
1,0.712,0.274
1,0.178,0.788
0,0.536,0.22
0,0.164,0.576
0,0.442,0.488
0,0.446,0.186
0,0.4,0.06
0,0.472,0.382
1,0.834,0.758
1,0.766,0.196
0,0.73,0.606
1,0.938,0.824
0,0.38,0.084
1,0.136,0.314
1,0.236,0.842
0,0.288,0.492
1,0.916,0.892
0,0.522,0.136
0,0.078,0.45
0,0.002,0.534
1,0.768,0.964
0,0.756,0.58
1,0.754,0.798
0,0.632,0.426
1,0.396,0.822
0,0.086,0.55
1,0.876,0.104
0,0.068,0.61
1,0.784,0.18
1,0.376,0.748
1,0.958,0.876
0,0.42,0.264
1,0.874,0.902
1,0.742,0.696
0,0.73,0.66
1,0.494,0.842
1,0.798,0.216
1,0.302,0.908
0,0.94,0.426
1,0.358,0.786
1,0.44,0.826
1,0.7,0.142
1,0.826,0.858
0,0.47,0.478
1,0.792,0.17
0,0.53,0.564
1,0.71,0.91
0,0.468,0.43
0,0.304,0.45
1,0.2,0.87
1,0.844,0.004
1,0.21,0.68
1,0.256,0.816
1,0.25,0.916
0,0.576,0.072
1,0.97,0.184
1,0.956,0.03
1,0.908,0.024
1,0.764,0.12
1,0.892,0.176
1,0.14,0.156
1,0.898,0.974
0,0.82,0.608
0,0.836,0.49
0,0.888,0.496
0,0.494,0.112
0,0.378,0.722
1,0.726,0.816
1,0.208,0.154
0,0.058,0.47
0,0.242,0.534
0,0.052,0.544
0,0.722,0.614
0,0.362,0.46
0,0.512,0.016
0,0.402,0.558
0,0.474,0.294
0,0.482,0.528
1,0.53,0.914
1,0.262,0.806
0,0.968,0.5
1,0.334,0.804
1,0.834,0.264
0,0.958,0.58
0,0.574,0.548
0,0.826,0.562
1,0.732,0.136
0,0.524,0.376
1,0.458,0.768
1,0.458,0.816
1,0.478,0.718
1,0.424,0.9
1,0.422,0.828
0,0.384,0.424
1,0.148,0.248
1,0.928,0.846
1,0.824,0.812
1,0.856,0.088
0,0.396,0.206
0,0.904,0.496
1,0.844,0.83
0,0.256,0.526
0,0.568,0.132
1,0.78,0.16
1,0.326,0.052
1,0.808,0.29
0,0.396,0.556
1,0.472,0.774
1,0.15,0.776
1,0.218,0.766
0,0.542,0.09
1,0.574,0.798
1,0.514,0.826
0,0.546,0.496
0,0.42,0.554
1,0.546,0.866
0,0.566,0.206
0,0.194,0.55
0,0.106,0.476
1,0.664,0.802
1,0.472,0.826
0,0.492,0.532
0,0.084,0.584
0,0.152,0.43
1,0.904,0.12
1,0.854,0.196
1,0.822,0.166
1,0.808,0.168
1,0.234,0.734
1,0.534,0.788
1,0.798,0.194
1,0.542,0.85
1,0.51,0.752
1,0.26,0.798
0,0.584,0.546
1,0.088,0.908
0,0.438,0.426
0,0.594,0.536
0,0.538,0.274
1,0.806,0.86
0,0.552,0.276
1,0.904,0.81
1,0.89,0.19
0,0.586,0.37
1,0.31,0.716
0,0.432,0.526
0,0.638,0.368
1,0.396,0.84
1,0.746,0.768
0,0.532,0.014
0,0.78,0.45
0,0.796,0.62
0,0.954,0.522
0,0.464,0.046
1,0.424,0.912
0,0.546,0.418
1,0.188,0.164
1,0.118,0.292
1,0.908,0.876
0,0.184,0.436
1,0.83,0.176
1,0.882,0.264
1,0.19,0.292
1,0.96,0.09
0,0.656,0.618
1,0.85,0.994
0,0.484,0.578
0,0.518,0.372
0,0.412,0.652
1,0.244,0.806
1,0.792,0.278
0,0.43,0.548
1,0.796,0.186
1,0.736,0.114
1,0.936,0.746
0,0.258,0.542
1,0.27,0.76
0,0.852,0.452
0,0.628,0.552
0,0.526,0.506
1,0.124,0.228
1,0.818,0.078
1,0.24,0.218
0,0.51,0.016
1,0.138,0.776
0,0.506,0.288
0,0.476,0.38
1,0.9,0.186
1,0.642,0.762
0,0.546,0.54
1,0.784,0.102
0,0.572,0.24
1,0.236,0.714
1,0.684,0.9
0,1,0.546
1,0.9,0.08
0,0.794,0.548
1,0.13,0.904
0,0.512,0.53
1,0.088,0.24
0,0.728,0.58
0,0.446,0.218
1,0.954,0.75
0,0.398,0.604
0,0.212,0.532
1,0.798,0.262
1,0.702,0.21
0,0.794,0.506
1,0.89,0.114
0,0.66,0.492
1,0.066,0.902
1,0.762,0.198
1,0.856,0.002
0,0.894,0.584
1,0.79,0.1
0,0.662,0.148
1,0.544,0.808
1,0.882,0.16
1,0.424,0.722
0,0.596,0.476
1,0.17,0.774
0,0.222,0.384
1,0.79,0.112
0,0.102,0.534
1,0.998,0.12
0,0.47,0.45
0,0.584,0.116
0,0.542,0.672
1,0.248,0.132
0,0.126,0.514
1,0.058,0.948
1,0.518,0.848
0,0.942,0.644
1,0.888,0.116
0,0.418,0.386
1,0.364,0.852
0,0.602,0.55
1,0.33,0.804
0,0.496,0.616
1,0.408,0.124
0,0.528,0.264
0,0.792,0.486
1,0.012,0.058
0,0.016,0.476
0,0.616,0.202
0,0.42,0.24
1,0.796,0.948
1,0.91,0.114
0,0.502,0.304
1,0.074,0.276
0,0.4,0.664
1,0.286,0.764
0,0.804,0.628
1,0.73,0.166
0,0.494,0.524
0,0.838,0.408
0,0.428,0.288
1,0.536,0.828
1,0.212,0.716
0,0.418,0.52
1,0.2,0.89
0,0.434,0.424
0,0.448,0.41
1,0.874,0.106
1,0.14,0.828
0,0.638,0.526
0,0.61,0.434
1,0.096,0.192
0,0.466,0.122
1,0.888,0.23
1,0.88,0.948
0,0.474,0.634
1,0.222,0.21
1,0.756,0.18
1,0.208,0.186
0,0.944,0.564
1,0.922,0.166
1,0.876,0.282
0,0.158,0.586
1,0.916,0.896
1,0.178,0.874
0,0.202,0.538
1,0.42,0.88
1,0.95,0.786
1,0.752,0.288
1,0.898,0.196
0,0.15,0.464
0,0.13,0.69
0,0.53,0.336
0,0.094,0.512
1,0.476,0.81
1,0.632,0.862
0,0.542,0.048
0,0.502,0.59
1,0.428,0.864
0,0.41,0.6
0,0.4,0.122
1,0.272,0.836
0,0.492,0.446
1,0.808,0.06
0,0.046,0.448
1,0.132,0.754
0,0.112,0.646
1,0.886,0.244
0,0.672,0.41
0,0.638,0.576
0,0.402,0.492
0,0.618,0.204
1,0.218,0.788
0,0.484,0.55
0,0.826,0.416
0,0.368,0.524
0,0.478,0.136
1,0.978,0.084
1,0.948,0.052
1,0.862,0.23
1,0.416,0.744
1,0.002,0.228
1,0.738,0.16
1,0.352,0.786
0,0.738,0.558
1,0.904,0.196
1,0.862,0.102
0,0.612,0.422
1,0.744,0.288
1,0.478,0.822
0,0.52,0.55
0,0.556,0.296
0,0.582,0.524
1,0.284,0.644
1,0.212,0.854
0,0.572,0.554
1,0.438,0.808
0,0.424,0.242
0,0.1,0.516
1,0.43,0.764
1,0.85,0.1
0,0.328,0.548
1,0.522,0.756
0,0.404,0.444
0,0.54,0.236
0,0.934,0.572
1,0.74,0.19
1,0.916,0.906
1,0.288,0.72
0,0.608,0.208
1,0.246,0.082
0,0.312,0.52
1,0.26,0.682
1,0.816,0.124
1,0.766,0.27
1,0.208,0.162
0,0.496,0.472
0,0.456,0.412
1,0.888,0.898
1,0.832,0.184
0,0.168,0.438
1,0.154,0.136
1,0.812,0.19
0,0.07,0.582
1,0.134,0.95
1,0.888,0.826
1,0.528,0.832
1,0.06,0.768
0,0.496,0.482
1,0.806,0.06
0,0.254,0.536
1,0.136,0.122
1,0.208,0.232
1,0.506,0.82
1,0.708,0.304
1,0.844,0.086
0,0.034,0.588
1,0.892,0.854
1,0.796,0.968
0,0.45,0.496
0,0.526,0.49
0,0.9,0.512
1,0.904,0.004
1,0.99,0.09
1,0.716,0.312
0,0.508,0.448
1,0.138,0.828
1,0.836,0.248
1,0.066,0.214
1,0.138,0.824
0,0.516,0.67
1,0.224,0.834
1,0.174,0.91
0,0.062,0.46
0,0.518,0.17
0,0.536,0.044
0,0.498,0.4
0,0.392,0.142
1,0.836,0.046
1,0.83,0.128
1,0.074,0.21
1,0.11,0.838
0,0.464,0.534
1,0.092,0.23
0,0.522,0.56
1,0.816,0.226
0,0.252,0.522
1,0.692,0.304
0,0.418,0.038
0,0.462,0.288
1,0.73,0.754
0,0.742,0.532
0,0.506,0.392
1,0.212,0.84
0,0.424,0.624
1,0.708,0.15
0,0.088,0.548
1,0.228,0.056
0,0.738,0.476
0,0.488,0.274
1,0.812,0.19
1,0.212,0.87
0,0.556,0.316
0,0.84,0.428
0,0.098,0.508
1,0.156,0.11
0,0.072,0.48
1,0.546,0.81
0,0.15,0.446
1,0.796,0.208
1,0.296,0.864
0,0.236,0.558
1,0.684,0.154
0,0.752,0.62
1,0.506,0.758
1,0.704,0.298
0,0.63,0.486
1,0.75,0.14
0,0.1,0.536
0,0.142,0.558
1,0.082,0.208
0,0.468,0.29
0,0.474,0.586
1,0.132,0.76
1,0.882,0.824
1,0.946,0.046
0,0.508,0.052
0,0.37,0.556
0,0.51,0.506
1,0.11,0.15
1,0.838,0.248
1,0.91,0.688
1,0.552,0.882
1,0.204,0.968
1,0.796,0.122
0,0.312,0.218
1,0.3,0.83
1,0.298,0.91
0,0.586,0.142
1,0.698,0.822
0,0.178,0.566
1,0.208,0.872
0,0.504,0.142
1,0.822,0.832
1,0.848,0.31
0,0.61,0.556
0,0.768,0.482
1,0.36,0.822
0,0.176,0.574
1,0.14,0.8
0,0.4,0.272
0,0.57,0.368
1,0.082,0.192
0,0.434,0.496
0,0.49,0.282
1,0.766,0.886
1,0.852,0.92
0,0.43,0.56
0,0.478,0.466
0,0.516,0.53
1,0.802,0.776
1,0.116,0.108
0,0.574,0.324
1,0.912,0.082
1,0.064,0.24
1,0.824,0.106
1,0.884,0.09
1,0.828,0.204
1,0.838,0.202
0,0.288,0.488
0,0.418,0.408
1,0.72,0.822
0,0.61,0.224
1,0.428,0.82
1,0.206,0.85
1,0.848,0.12
1,0.746,0.174
0,0.602,0.54
1,0.166,0.808
0,0.106,0.53
0,0.518,0.456
1,0.22,0.796
0,0.442,0.446
0,0.158,0.604
1,0.044,0.2
0,0.118,0.558
1,0.822,0.154
1,0.708,0.176
1,0.53,0.804
0,0.818,0.614
1,0.81,0.002
1,0.794,0.34
1,0.118,0.142
1,0.454,0.898
0,0.638,0.426
0,0.512,0.364
1,0.67,0.678
0,0.442,0.328
0,0.664,0
0,0.166,0.58
1,0.976,0.214
0,0.182,0.692
0,0.606,0.286
0,0.014,0.614
1,0.152,0.15
1,0.448,0.804
1,0.892,0.06
0,0.434,0.424
1,0.252,0.084
1,0.854,0.196
0,0.508,0.562
1,0.594,0.74
0,0.46,0.224
1,0.436,0.876
1,0.138,0.794
0,0.428,0.69
1,0.162,0.848
0,0.124,0.536
0,0.466,0.216
0,0.49,0.142
0,0.548,0.642
0,0.348,0.224
1,0.852,0.796
1,0.126,0.87
0,0.496,0.158
0,0.548,0.47
1,0.874,0.202
1,0.562,0.704
0,0.172,0.656
1,0.228,0.196
0,0.018,0.582
1,0.14,0.838
1,0.796,0.2
1,0.794,0.916
1,0.54,0.942
0,0.554,0.234
0,0.6,0.06
0,0.072,0.44
0,0.392,0.01
1,0.906,0.03
0,0.456,0.462
1,0.578,0.78
1,0.92,0.25
1,0.498,0.916
0,0.94,0.45
1,0.244,0.094
1,0.466,0.836
1,0.814,0.142
1,0.654,0.732
1,0.786,0.18
1,0.616,0.734
1,0.8,0.128
1,0.3,0.848
1,0.894,0.06
0,0.502,0.328
0,0.432,0.514
1,0.65,0.178
0,0.07,0.62
0,0.582,0.33
0,0.538,0.498
1,0.932,0.14
0,0.484,0.372
1,0.514,0.736
1,0.16,0.77
1,0.826,0.184
1,0.316,0.874
1,0.07,0.17
0,0.452,0.566
1,0.174,0.164
0,0.48,0.444
1,0.092,0.092
0,0.138,0.542
0,0.28,0.542
0,0.052,0.534
1,0.894,0.156
0,0.256,0.574
0,0.932,0.478
1,0.09,0.136
1,0.904,0.116
1,0.884,0.11
1,0.246,0.064
1,0.108,0.082
1,0.874,0.17
0,0.694,0.618
1,0.228,0.768
0,0.484,0.576
0,0.496,0.47
1,0.124,0.14
0,0.322,0.454
1,0.078,0.168
0,0.422,0.572
1,0.868,0.866
1,0.654,0.774
1,0.896,0.796
0,0.51,0.448
0,0.37,0.092
0,0.362,0.558
0,0.262,0.48
0,0.518,0.256
0,0.384,0.576
1,0.108,0.826
0,0.552,0.412
1,0.508,0.82
0,0.148,0.684
1,0.482,0.896
1,0.138,0.194
0,0.754,0.51
1,0.62,0.732
0,0.574,0.152
1,0.886,0.184
0,0.534,0.376
1,0.818,0.208
1,0.878,0.26
0,0.504,0.08
1,0.814,0.084
1,0.242,0.174
0,0.72,0.662
1,0.71,0.95
0,0.52,0.53
1,0.926,0.156
0,0.542,0.184
0,0.446,0.362
0,0.738,0.474
0,0.818,0.592
0,0.64,0.368
1,0.136,0.774
1,0.762,0.292
0,0.338,0.052
0,0.472,0.422
1,0.936,0.172
1,0.334,0.8
1,0.232,0.754
1,0.82,0.838
1,0.198,0.808
0,0.478,0.056
0,0.614,0.628
1,0.138,0.838
1,0.722,0.23
0,0.458,0.154
1,0.108,0.228
0,0.588,0.2
1,0.826,0.112
0,0.538,0.302
1,0.146,0.1
1,0.136,0.812
0,0.4,0.474
1,0.144,0.762
0,0.282,0.502
1,0.646,0.87
0,0.83,0.536
1,0.902,0.322
1,0.096,0.056
1,0.876,0.792
1,0.114,0.234
0,0.426,0.116
1,0.992,0.894
0,0.598,0.148
1,0.752,0.808
1,0.68,0.272
0,0.498,0.138
0,0.29,0.552
0,0.528,0.514
0,0.514,0.192
0,0.936,0.526
0,0.524,0.572
0,0.114,0.514
1,0.292,0.86
0,0.318,0.382
1,0.808,0.222
1,0.796,0.284
0,0.37,0.33
1,0.044,0.208
1,0.884,0.044
1,0.906,0.202
1,0.892,0.038
1,0.756,0.82
0,0.324,0.438
1,0.424,0.976
0,0.298,0.498
1,0.95,0.098
0,0.846,0.656
1,0.854,0.818
1,0.206,0.83
0,0.81,0.512
1,0.898,0.102
0,0.516,0.356
1,0.36,0.788
1,0.022,0.11
0,0.454,0.248
0,0.396,0.596
1,0.914,0.846
0,0.45,0.18
0,0.12,0.486
1,0.678,0.224
1,0.792,0.096
0,0.494,0.374
1,0.24,0.886
0,0.25,0.582
1,0.174,0.822
0,0.366,0.656
0,0.104,0.426
1,0.482,0.88
1,0.232,0.748
0,0.812,0.402
1,0.21,0.974
0,0.578,0.07
0,0.786,0.534
1,0.61,0.72
0,0.482,0.272
0,0.352,0.538
0,0.296,0.484
1,0.104,0.888
1,0.394,0.728
0,0.396,0.61
0,0.418,0.538
0,0.384,0.578
1,0.708,0.188
0,0.002,0.51
0,0.686,0.562
0,0.438,0.554
0,0.69,0.512
0,0.994,0.42
0,0.572,0.006
1,0.776,0.776
1,0.064,0.058
1,0.13,0.26
0,0.538,0.536
1,0.218,0.172
0,0.142,0.466
0,0.488,0.064
0,0.304,0.474
0,0.542,0.392
1,0.078,0.27
0,0.524,0.35
1,0.836,0.118
1,0.774,0.168
1,0.758,0.224
0,0.502,0.078
1,0.43,0.898
0,0.552,0.65
1,0.122,0.12
1,0.696,0.052
0,0.296,0.562
1,0.168,0.92
1,0.44,0.928
0,0.094,0.476
0,0.508,0.156
0,0.378,0.534
0,0.446,0.274
1,0.316,0.838
0,0.34,0.542
1,0.838,0.876
0,0.93,0.518
1,0.49,0.692
1,0.228,0.066
0,0.46,0.056
1,0.692,0.316
0,0.516,0.396
1,1,0.828
0,0.316,0.56
1,0.778,0.122
0,0.526,0.454
0,0,0.638
1,0.158,0.19
0,0.52,0.286
1,0.466,0.834
1,0.182,0.87
0,0.478,0.472
0,0.954,0.44
0,0.534,0.144
1,0.332,0.788
0,0.582,0.226
0,0.806,0.6
1,0.848,0.208
1,0.112,0.124
0,0.564,0.238
1,0.896,0.67
0,0.506,0.55
0,0.434,0.252
1,0.84,0.114
0,0.16,0.584
0,0.28,0.528
1,0.48,0.808
1,0.806,0.264
0,0.54,0.188
1,0.89,0.896
1,0.5,0.872
0,0.644,0.44
1,0.502,0.82
0,0.634,0.218
0,0.562,0.526
1,0.29,0.078
1,0.46,0.734
0,0.504,0.272
0,0.256,0.558
1,0.462,0.762
0,0.472,0.35
0,0.83,0.406
1,0.214,0.862
0,0.482,0.572
0,0.522,0.394
1,0.582,0.796
0,0.224,0.468
0,0.456,0.49
1,0.582,0.8
1,0.24,0.016
1,0.124,0.098
1,0.764,0.01
0,0.382,0.592
1,0.3,0.84
0,0.568,0.048
1,0.372,0.856
1,0.152,0.908
0,0.506,0.518
1,0.436,0.764
1,0.194,0.14
1,0.098,0.114
1,0.144,0.096
1,0.678,0.162
1,0.646,0.83
1,0.868,0.214
1,0.922,0.158
0,0.538,0.326
0,0.854,0.464
0,0.496,0.504
1,0.252,0.836
0,0.884,0.616
0,0.57,0.214
1,0.794,0.122
1,0.036,0.248
1,0.752,0.104
0,0.482,0.528
0,0.49,0.338
0,0.822,0.454
0,0.108,0.646
0,0.76,0.578
1,0.214,0.824
1,0.4,0.92
0,0.394,0.342
0,0.33,0.354
1,0.81,0.182
1,0.208,0.202
0,0.428,0.502
1,0.096,0.938
1,0.838,0.206
1,0.094,0.956
0,0.638,0.57
0,0.46,0.336
1,0.696,0.144
1,0.216,0.874
0,0.258,0.538
0,0.16,0.63
1,0.12,0.784
1,0.876,0.106
0,0.44,0.536
1,0.816,0.15
1,0.406,0.802
0,0.286,0.546
1,0.44,0.804
1,0.726,0.212
1,0.496,0.728
1,0.858,0.102
1,0.864,0.196
1,0.216,0.818
1,0.746,0.97
0,0.504,0.444
1,0.474,0.908
0,0.226,0.442
1,0.31,0.9
0,0.37,0.558
1,0.232,0.734
0,0.05,0.536
1,0.16,0.098
0,0.428,0.546
1,0.01,0.226
0,0.176,0.442
0,0.276,0.508
0,0.714,0.502
1,0.282,0.782
1,0.758,0.204
0,0.416,0.452
0,0.476,0.33
1,0.186,0.202
1,0.096,0.75
0,0.49,0.43
1,0.81,0.128
0,0.488,0.066
1,0.904,0.08
0,0.258,0.596
0,0.608,0.356
1,0.85,0.932
0,0.298,0.462
1,0.69,0.764
0,0.576,0.286
1,0.448,0.72
0,0.824,0.564
1,0.4,0.846
1,0.376,0.758
1,0.77,0.2
0,0.36,0.436
0,0.504,0.474
1,0.834,0.046
1,0.736,0.228
1,0.976,0.108
0,0.052,0.48
1,0.796,0.168
0,0.406,0.382
0,0.41,0.068
1,0.802,0.772
0,0.924,0.412
1,0.146,0.036
1,0.584,0.852
1,0.138,0.234
0,0.626,0.268
0,0.45,0.226
1,0.366,0.856
1,0.202,0.12
0,0.16,0.474
0,0.528,0.416
1,0.478,0.836
0,0.532,0.548
1,0.85,0.78
1,0.454,0.786
0,0.472,0.558
0,0.352,0.616
0,0.468,0.368
0,0.778,0.406
0,0.44,0.466
1,0.804,0.192
1,0.82,0.236
1,0.772,0.24
1,0.912,0.812
1,0.996,0.108
0,0.53,0.166
1,0.262,0.756
1,0.838,0.746
1,0.258,0.126
1,0.094,0.214
1,0.186,0.742
0,0.49,0.136
1,0.138,0.78
0,0.474,0.598
0,0.93,0.54
1,0.094,0.198
0,0.532,0.45
0,0.494,0.252
0,0.448,0.364
1,0.698,0.142
0,0.522,0.236
0,0.114,0.458
1,0.36,0.694
1,0.8,0.86
0,0.48,0.568
0,0.504,0.408
1,0.846,0.018
0,0.642,0.662
1,0.51,0.75
1,0.766,0.192
1,0.432,0.886
1,0.174,0.066
1,0.15,0.216
1,0.72,0.274
1,0.842,0.814
1,1,0.774
0,0.452,0.514
0,0.498,0.128
1,0.88,0.212
1,0.526,0.73
1,0.83,0.172
1,0.196,0.87
0,0.098,0.586
1,0.332,0.144
1,0.348,0.866
1,0.1,0.114
1,0.924,0.87
0,0.228,0.516
1,0.928,0.088
1,0.146,0.842
0,0.77,0.53
1,0.118,0.182
0,0.178,0.518
0,0.506,0.522
0,0.614,0.212
1,0.848,0.07
1,0.77,0.926
1,0.808,0.038
0,0.466,0.252
1,0.134,0.96
0,0.534,0.1
1,0.716,0.808
0,0.484,0.276
1,0.272,0.238
0,0.246,0.46
1,0.978,0.082
1,0.162,0.226
1,0.922,0.124
1,0.51,0.81
1,0.176,0.796
0,0.528,0.198
1,0.926,0.128
1,0.302,0.784
1,0.772,0.734
1,0.77,0.792
1,0.49,0.834
1,0.382,0.9
1,0.038,0.216
0,0.584,0.168
1,0.88,0.094
0,0.316,0.518
1,0.78,0.126
0,0.944,0.552
1,0.66,0.246
0,0.546,0.518
1,0.438,0.812
0,0.4,0.346
0,0.042,0.452
1,0.612,0.79
1,0.562,0.762
1,0.154,0.95
0,0.454,0.45
0,0.41,0.348
1,0.278,0.896
1,0.802,0.084
1,0.678,0.28
1,0.256,0.16
1,0.86,0.176
1,0.868,0.116
1,0.076,0.166
1,0.186,0.26
0,0.132,0.554
1,0.73,0.778
