label,alpha,beta
0,0.368,0.31
0,0.212,0.374
0,0.854,0.476
0,0.152,0.31
1,0.556,0.25
0,0.184,0.382
1,0.6,0.596
0,0.828,0.542
1,0.5,0.21
0,0.65,0.68
1,0.418,0.372
1,0.386,0.51
1,0.606,0.626
1,0.41,0.38
1,0.42,0.532
0,0.226,0.406
1,0.534,0.254
0,0.274,0.48
0,0.266,0.4
0,0.718,0.602
0,0.22,0.494
1,0.586,0.758
0,0.712,0.332
0,0.18,0.254
1,0.374,0.512
1,0.616,0.558
0,0.12,0.23
0,0.152,0.222
1,0.396,0.502
0,0.2,0.448
1,0.598,0.586
1,0.478,0.388
1,0.422,0.626
0,0.45,0.696
0,0.442,0.834
1,0.51,0.602
1,0.612,0.252
0,0.168,0.32
1,0.562,0.774
1,0.53,0.616
0,0.322,0.346
1,0.46,0.588
0,0.198,0.368
0,0.808,0.456
1,0.626,0.524
1,0.46,0.614
0,0.432,0.716
1,0.388,0.518
1,0.544,0.224
1,0.5,0.33
0,0.278,0.376
1,0.486,0.368
1,0.372,0.47
0,0.42,0.708
1,0.568,0.378
1,0.582,0.25
1,0.388,0.466
0,0.284,0.432
0,0.424,0.256
1,0.558,0.604
0,0.352,0.356
1,0.564,0.252
0,0.152,0.212
1,0.452,0.6
0,0.856,0.556
1,0.386,0.556
1,0.602,0.364
1,0.544,0.208
0,0.798,0.512
0,0.58,0.306
0,0.53,0.11
1,0.568,0.384
0,0.424,0.28
0,0.672,0.294
1,0.488,0.348
0,0.842,0.504
1,0.444,0.6
0,0.63,0.296
0,0.814,0.552
1,0.636,0.55
0,0.344,0.308
0,0.2,0.436
0,0.842,0.458
0,0.62,0.268
0,0.75,0.57
0,0.66,0.258
0,0.314,0.356
0,0.582,0.732
0,0.448,0.25
0,0.3,0.578
1,0.554,0.224
1,0.632,0.48
1,0.472,0.614
1,0.446,0.362
1,0.6,0.416
0,0.536,0.472
0,0.86,0.568
0,0.484,0.502
0,0.848,0.536
1,0.522,0.186
1,0.482,0.578
1,0.504,0.212
1,0.392,0.558
0,0.162,0.282
0,0.666,0.632
1,0.494,0.354
1,0.382,0.478
1,0.514,0.616
1,0.514,0.626
0,0.752,0.552
0,0.366,0.302
1,0.546,0.756
1,0.518,0.394
0,0.712,0.324
0,0.678,0.638
1,0.598,0.614
1,0.406,0.52
1,0.55,0.766
0,0.74,0.438
1,0.596,0.364
1,0.556,0.36
1,0.572,0.592
1,0.556,0.774
1,0.424,0.57
1,0.376,0.44
0,0.39,0.716
0,0.212,0.438
0,0.132,0.266
0,0.85,0.568
0,0.15,0.234
0,0.702,0.44
1,0.558,0.38
0,0.752,0.374
1,0.53,0.398
0,0.536,0.484
1,0.614,0.566
1,0.636,0.436
1,0.49,0.18
1,0.374,0.228
1,0.41,0.554
1,0.55,0.764
0,0.796,0.476
1,0.518,0.612
0,0.748,0.424
1,0.614,0.554
0,0.24,0.486
0,0.492,0.464
1,0.396,0.4
0,0.184,0.292
1,0.61,0.368
1,0.562,0.788
1,0.48,0.358
1,0.444,0.34
1,0.398,0.376
0,0.73,0.418
1,0.63,0.586
0,0.606,0.278
1,0.528,0.204
1,0.622,0.516
1,0.64,0.428
1,0.606,0.454
1,0.39,0.406
0,0.156,0.294
0,0.272,0.484
1,0.634,0.56
0,0.406,0.68
0,0.498,0.532
0,0.368,0.29
0,0.382,0.292
0,0.328,0.32
0,0.176,0.246
1,0.374,0.58
0,0.484,0.494
0,0.65,0.252
0,0.782,0.396
0,0.534,0.116
0,0.808,0.508
1,0.512,0.22
1,0.348,0.54
0,0.724,0.308
0,0.766,0.434
1,0.636,0.388
0,0.642,0.284
0,0.22,0.432
1,0.568,0.248
0,0.132,0.23
1,0.628,0.566
0,0.35,0.304
0,0.502,0.27
1,0.396,0.584
1,0.55,0.638
1,0.382,0.49
1,0.286,0.264
1,0.61,0.574
0,0.176,0.282
0,0.574,0.282
1,0.364,0.182
1,0.438,0.578
1,0.384,0.534
0,0.634,0.322
0,0.478,0.684
1,0.5,0.638
1,0.474,0.208
1,0.352,0.246
0,0.33,0.342
1,0.548,0.394
1,0.622,0.548
1,0.324,0.27
0,0.386,0.284
1,0.556,0.622
0,0.782,0.452
0,0.746,0.414
0,0.846,0.528
1,0.554,0.22
0,0.402,0.706
0,0.804,0.468
1,0.47,0.2
0,0.274,0.408
0,0.144,0.26
1,0.386,0.522
1,0.358,0.234
1,0.628,0.418
1,0.5,0.344
0,0.174,0.32
1,0.584,0.226
1,0.54,0.346
0,0.458,0.492
0,0.802,0.432
0,0.28,0.41
1,0.642,0.436
1,0.62,0.52
1,0.476,0.586
0,0.688,0.584
0,0.39,0.266
1,0.586,0.612
0,0.252,0.452
1,0.636,0.582
1,0.58,0.234
0,0.648,0.676
1,0.626,0.556
0,0.452,0.27
1,0.504,0.616
1,0.584,0.374
0,0.18,0.302
1,0.546,0.762
1,0.556,0.642
1,0.462,0.596
1,0.624,0.5
0,0.58,0.294
0,0.342,0.318
1,0.388,0.558
0,0.604,0.264
0,0.182,0.26
0,0.26,0.448
0,0.692,0.414
1,0.596,0.612
0,0.332,0.324
0,0.26,0.496
1,0.522,0.18
0,0.36,0.326
1,0.644,0.42
1,0.636,0.496
1,0.522,0.768
0,0.666,0.7
0,0.262,0.48
0,0.532,0.51
1,0.472,0.39
1,0.572,0.374
1,0.586,0.39
0,0.54,0.132
0,0.828,0.546
0,0.676,0.3
1,0.376,0.214
0,0.686,0.29
1,0.588,0.2
0,0.596,0.294
1,0.43,0.38
0,0.176,0.272
1,0.514,0.38
1,0.454,0.336
1,0.614,0.592
0,0.126,0.226
0,0.514,0.27
0,0.65,0.294
1,0.428,0.374
0,0.264,0.51
0,0.826,0.474
1,0.58,0.372
1,0.478,0.356
0,0.494,0.492
0,0.704,0.388
1,0.374,0.408
0,0.216,0.35
0,0.468,0.486
0,0.664,0.26
0,0.694,0.636
0,0.394,0.276
0,0.42,0.284
0,0.76,0.386
0,0.578,0.282
0,0.84,0.52
1,0.394,0.542
1,0.554,0.77
0,0.54,0.698
0,0.172,0.298
1,0.588,0.372
1,0.482,0.344
1,0.356,0.478
0,0.84,0.542
1,0.536,0.756
0,0.71,0.584
1,0.578,0.368
0,0.388,0.7
0,0.37,0.28
0,0.672,0.624
1,0.6,0.466
0,0.34,0.332
0,0.418,0.292
0,0.17,0.278
0,0.41,0.674
0,0.346,0.31
1,0.606,0.596
1,0.36,0.246
0,0.424,0.282
0,0.72,0.428
0,0.314,0.384
1,0.626,0.406
1,0.554,0.186
0,0.37,0.316
0,0.288,0.408
1,0.364,0.556
0,0.526,0.72
0,0.802,0.514
1,0.372,0.488
1,0.598,0.358
1,0.58,0.396
0,0.2,0.344
1,0.36,0.502
0,0.668,0.314
0,0.298,0.498
0,0.768,0.424
1,0.57,0.226
1,0.494,0.618
0,0.556,0.702
0,0.654,0.286
0,0.782,0.476
0,0.206,0.332
1,0.562,0.642
0,0.17,0.246
1,0.592,0.228
0,0.71,0.582
1,0.59,0.376
1,0.384,0.53
0,0.502,0.486
0,0.168,0.282
0,0.26,0.5
0,0.756,0.468
1,0.52,0.224
1,0.626,0.404
0,0.702,0.312
0,0.298,0.536
0,0.222,0.46
1,0.458,0.364
0,0.21,0.404
0,0.264,0.48
1,0.392,0.258
0,0.312,0.334
0,0.388,0.718
1,0.394,0.488
0,0.154,0.262
0,0.234,0.358
0,0.54,0.48
0,0.594,0.308
0,0.208,0.36
1,0.424,0.366
0,0.554,0.728
0,0.806,0.452
1,0.592,0.262
0,0.716,0.308
1,0.488,0.358
0,0.404,0.302
0,0.82,0.486
1,0.46,0.378
1,0.504,0.224
0,0.394,0.724
1,0.284,0.278
1,0.588,0.252
1,0.302,0.284
1,0.634,0.444
0,0.194,0.36
0,0.132,0.218
0,0.488,0.486
0,0.68,0.616
0,0.502,0.5
0,0.27,0.496
0,0.688,0.288
1,0.464,0.602
1,0.648,0.478
1,0.392,0.236
0,0.56,0.726
1,0.396,0.598
0,0.312,0.354
1,0.348,0.486
0,0.526,0.72
0,0.812,0.462
1,0.56,0.63
1,0.558,0.21
1,0.526,0.206
0,0.222,0.39
1,0.63,0.5
0,0.854,0.51
1,0.558,0.372
0,0.73,0.388
0,0.268,0.478
0,0.722,0.546
0,0.214,0.364
1,0.534,0.364
0,0.61,0.702
0,0.476,0.464
0,0.704,0.314
1,0.422,0.606
0,0.624,0.272
1,0.602,0.574
0,0.612,0.282
1,0.634,0.45
1,0.384,0.426
1,0.306,0.288
1,0.622,0.546
1,0.582,0.254
0,0.21,0.392
0,0.272,0.506
0,0.798,0.46
1,0.618,0.358
0,0.502,0.482
0,0.248,0.474
0,0.678,0.298
0,0.784,0.366
0,0.326,0.344
0,0.6,0.292
0,0.258,0.424
1,0.626,0.58
1,0.506,0.208
1,0.534,0.212
0,0.17,0.332
1,0.52,0.618
0,0.71,0.33
0,0.864,0.576
1,0.41,0.576
0,0.87,0.52
0,0.556,0.714
0,0.692,0.618
0,0.254,0.484
0,0.214,0.42
1,0.52,0.198
0,0.494,0.506
1,0.362,0.266
0,0.206,0.38
0,0.864,0.568
0,0.26,0.476
1,0.65,0.486
0,0.598,0.282
0,0.264,0.496
0,0.27,0.456
1,0.442,0.346
0,0.246,0.45
1,0.596,0.254
0,0.17,0.224
1,0.48,0.178
0,0.602,0.288
1,0.582,0.388
0,0.48,0.5
0,0.378,0.744
1,0.494,0.202
0,0.678,0.656
0,0.392,0.718
0,0.294,0.526
1,0.478,0.382
0,0.342,0.32
0,0.734,0.51
1,0.388,0.564
0,0.234,0.446
0,0.732,0.446
1,0.44,0.372
0,0.274,0.472
1,0.396,0.536
0,0.812,0.454
1,0.64,0.546
1,0.402,0.4
0,0.206,0.418
1,0.522,0.376
1,0.51,0.604
0,0.178,0.298
0,0.24,0.422
1,0.576,0.196
0,0.51,0.482
1,0.526,0.346
0,0.174,0.358
0,0.478,0.5
0,0.414,0.688
0,0.46,0.69
1,0.64,0.518
1,0.358,0.47
1,0.41,0.53
0,0.684,0.322
0,0.5,0.486
0,0.59,0.696
0,0.834,0.532
0,0.382,0.724
1,0.568,0.628
1,0.578,0.256
0,0.774,0.41
0,0.268,0.51
0,0.676,0.352
0,0.534,0.314
1,0.42,0.22
1,0.406,0.414
0,0.502,0.482
1,0.526,0.624
1,0.492,0.362
0,0.526,0.298
1,0.398,0.498
0,0.366,0.304
1,0.56,0.612
1,0.482,0.21
0,0.558,0.294
0,0.516,0.492
0,0.436,0.272
1,0.344,0.256
1,0.588,0.236
0,0.264,0.484
0,0.704,0.368
0,0.594,0.696
1,0.482,0.642
1,0.622,0.46
0,0.794,0.428
0,0.53,0.484
1,0.388,0.466
1,0.574,0.384
0,0.636,0.326
1,0.572,0.594
0,0.338,0.348
0,0.21,0.406
1,0.376,0.562
0,0.288,0.45
0,0.834,0.562
0,0.634,0.676
1,0.61,0.562
1,0.378,0.446
0,0.762,0.354
1,0.606,0.612
1,0.552,0.372
0,0.336,0.326
0,0.676,0.33
1,0.628,0.538
0,0.152,0.276
0,0.488,0.272
0,0.266,0.498
1,0.414,0.388
0,0.126,0.24
1,0.374,0.54
0,0.494,0.5
1,0.604,0.57
0,0.398,0.686
0,0.262,0.438
1,0.274,0.286
0,0.732,0.382
0,0.424,0.272
1,0.348,0.564
1,0.39,0.236
0,0.35,0.304
0,0.8,0.472
1,0.54,0.626
0,0.576,0.274
1,0.516,0.622
0,0.77,0.412
1,0.582,0.624
0,0.736,0.408
1,0.582,0.376
1,0.414,0.224
0,0.308,0.36
0,0.648,0.308
1,0.504,0.626
0,0.258,0.44
1,0.358,0.546
0,0.262,0.494
0,0.756,0.466
1,0.402,0.468
0,0.678,0.322
0,0.712,0.594
1,0.606,0.564
1,0.42,0.386
0,0.75,0.394
1,0.52,0.232
0,0.142,0.236
1,0.396,0.532
0,0.838,0.48
0,0.83,0.526
1,0.58,0.244
0,0.74,0.424
1,0.634,0.45
1,0.46,0.184
1,0.49,0.37
0,0.774,0.476
1,0.58,0.622
1,0.584,0.242
1,0.556,0.624
1,0.396,0.438
0,0.768,0.394
1,0.496,0.222
0,0.172,0.326
0,0.232,0.414
0,0.736,0.53
0,0.274,0.482
0,0.618,0.692
0,0.432,0.698
1,0.594,0.602
1,0.56,0.604
1,0.518,0.618
1,0.362,0.238
1,0.432,0.216
0,0.782,0.428
1,0.6,0.548
1,0.566,0.228
0,0.458,0.28
1,0.628,0.458
1,0.508,0.374
1,0.45,0.588
0,0.314,0.308
0,0.274,0.472
0,0.674,0.302
1,0.588,0.616
0,0.682,0.28
0,0.648,0.642
0,0.15,0.23
1,0.618,0.42
1,0.334,0.28
1,0.52,0.218
1,0.536,0.378
0,0.464,0.73
0,0.33,0.382
0,0.72,0.344
0,0.402,0.772
0,0.474,0.51
1,0.602,0.588
0,0.176,0.242
1,0.4,0.58
0,0.642,0.672
0,0.734,0.376
0,0.198,0.32
1,0.358,0.22
1,0.608,0.616
0,0.378,0.288
0,0.528,0.28
0,0.528,0.292
0,0.134,0.23
1,0.484,0.624
1,0.63,0.498
1,0.412,0.392
0,0.12,0.24
1,0.65,0.456
1,0.594,0.206
0,0.642,0.64
1,0.396,0.42
0,0.274,0.48
0,0.694,0.638
0,0.652,0.328
0,0.28,0.51
0,0.254,0.486
1,0.374,0.546
0,0.518,0.496
0,0.268,0.496
1,0.558,0.224
0,0.698,0.302
1,0.64,0.492
1,0.62,0.52
0,0.686,0.61
1,0.53,0.614
0,0.368,0.312
0,0.86,0.57
1,0.366,0.46
1,0.43,0.206
0,0.276,0.448
1,0.562,0.394
1,0.616,0.506
0,0.516,0.5
0,0.176,0.318
0,0.524,0.288
1,0.584,0.37
1,0.624,0.516
0,0.854,0.556
1,0.404,0.44
0,0.644,0.676
1,0.384,0.526
1,0.626,0.476
0,0.82,0.484
1,0.632,0.456
1,0.484,0.598
1,0.41,0.548
1,0.394,0.462
1,0.442,0.206
0,0.738,0.34
0,0.84,0.618
1,0.466,0.608
1,0.604,0.538
0,0.188,0.396
1,0.638,0.466
0,0.404,0.69
0,0.354,0.314
0,0.73,0.352
1,0.42,0.206
1,0.622,0.4
1,0.408,0.402
0,0.23,0.384
0,0.308,0.53
0,0.16,0.28
1,0.416,0.552
0,0.16,0.344
0,0.356,0.29
1,0.63,0.472
1,0.536,0.626
0,0.356,0.334
1,0.526,0.624
1,0.602,0.582
1,0.41,0.584
0,0.314,0.422
0,0.152,0.254
1,0.456,0.596
0,0.3,0.378
0,0.664,0.666
0,0.704,0.588
0,0.414,0.734
0,0.866,0.55
1,0.598,0.402
0,0.266,0.434
1,0.47,0.198
0,0.246,0.496
1,0.37,0.448
0,0.208,0.41
0,0.662,0.642
1,0.33,0.244
1,0.454,0.388
0,0.84,0.552
0,0.398,0.262
1,0.458,0.576
1,0.596,0.542
1,0.624,0.41
1,0.554,0.204
0,0.546,0.488
1,0.388,0.45
0,0.824,0.486
0,0.786,0.466
1,0.306,0.282
0,0.286,0.518
0,0.408,0.3
1,0.586,0.578
1,0.424,0.38
1,0.43,0.412
0,0.666,0.66
0,0.63,0.236
0,0.72,0.546
0,0.434,0.246
1,0.298,0.296
0,0.268,0.502
0,0.762,0.416
0,0.302,0.526
1,0.616,0.446
1,0.424,0.384
1,0.618,0.394
1,0.518,0.37
0,0.49,0.518
0,0.446,0.272
0,0.218,0.39
1,0.426,0.604
1,0.598,0.4
1,0.406,0.39
0,0.722,0.408
1,0.434,0.176
1,0.638,0.466
1,0.376,0.49
0,0.86,0.582
1,0.342,0.47
0,0.5,0.502
1,0.63,0.444
0,0.496,0.486
0,0.33,0.328
0,0.198,0.37
0,0.666,0.662
0,0.194,0.388
0,0.692,0.616
1,0.622,0.514
0,0.522,0.298
0,0.198,0.388
0,0.128,0.278
0,0.848,0.54
1,0.604,0.554
0,0.52,0.5
1,0.478,0.21
0,0.728,0.554
0,0.158,0.384
0,0.164,0.264
1,0.544,0.238
0,0.42,0.256
1,0.406,0.218
0,0.708,0.442
0,0.812,0.538
0,0.198,0.408
1,0.576,0.636
1,0.634,0.5
1,0.59,0.252
0,0.556,0.284
1,0.526,0.344
0,0.772,0.382
1,0.414,0.188
1,0.574,0.25
1,0.388,0.23
1,0.416,0.582
0,0.47,0.722
0,0.682,0.304
0,0.814,0.408
1,0.382,0.472
0,0.722,0.42
0,0.844,0.552
1,0.402,0.212
1,0.402,0.562
1,0.572,0.222
1,0.556,0.24
1,0.59,0.396
0,0.474,0.3
1,0.438,0.368
0,0.874,0.578
