target,alpha,beta
1,0.0,4.28884
0,0.670119,0.0
0,3.438114,0.0
0,3.181818,0.0
1,0.0,2.232064
0,6.161071,0.0
1,0.0,1.279513
1,0.0,0.250634
1,0.0,3.72028
0,6.176471,0.0
0,1.378112,0.0
1,0.0,2.431762
1,0.0,5.062893
0,3.232323,0.0
0,0.482204,0.0
1,0.0,0.368421
1,0.0,8.407311
0,1.426146,0.0
1,0.0,3.526448
0,2.978723,0.0
1,0.0,1.932939
1,0.0,0.303249
1,0.615799,3.971275
0,2.611592,0.0
0,1.2248,0.017751
0,3.507973,0.0
1,0.0,4.9694
1,0.0,2.1875
1,0.034869,0.488169
1,0.0,3.671037
1,0.0,3.475177
0,1.50165,0.0
1,0.0,2.893701
0,3.086614,0.0
0,1.017328,0.0
0,3.139842,0.0
0,0.172308,0.0
0,0.328395,0.0
0,1.09375,0.0
0,1.030169,0.0
0,1.012517,0.0
1,0.0,3.513055
0,3.796095,0.0
0,3.003613,0.0
0,2.621723,0.0
0,2.068502,0.0
0,0.785928,0.0
0,1.971831,0.0
0,5.694915,0.0
0,2.462312,0.0
0,0.704698,0.0
0,1.072797,0.0
0,8.220025,0.519159
1,0.062002,0.496014
0,0.50187,0.0
1,0.192572,9.050894
1,0.079096,0.474576
0,2.159383,0.0
1,0.0,3.869596
1,0.0,1.664025
1,0.0,2.005731
1,0.0,4.038462
0,1.080649,0.0
0,2.914238,0.0
0,1.127214,0.0
1,0.07148,1.000723
0,0.998415,0.0
1,0.0,2.241195
0,1.274175,0.159272
0,0.805524,0.0
0,0.694688,0.0
0,5.6,0.0
0,8.778878,0.0
1,0.0,8.118557
0,2.876712,0.0
1,0.0,2.989324
0,0.315315,0.0
0,0.773481,0.0
1,0.0,1.331522
0,4.307692,0.0
1,0.0,10.105263
1,0.0,0.649819
1,0.448718,3.141026
1,0.0,1.792261
0,1.293303,0.0
0,0.766703,0.0
1,0.0,1.079692
1,0.0,2.923434
0,1.004592,0.0
1,0.0,1.143791
0,0.638558,0.327066
1,0.0,15.957697
0,3.322684,0.0
1,0.0,9.969697
0,0.796748,0.0
0,0.363008,0.0
0,0.558087,0.0
1,0.0,3.036649
1,0.0,0.291313
0,0.393627,0.0
0,3.028846,0.0
0,3.068493,0.0
0,4.666667,0.0
1,0.321248,0.321248
0,1.721752,0.0
1,0.0,2.970106
1,0.0,2.502483
0,1.783439,0.0
0,1.33758,0.0
0,0.986037,0.017299
0,2.184713,0.0
0,2.911612,0.0
0,0.217166,0.0
1,0.0,8.571429
0,1.246661,0.0
0,3.657838,0.67645
0,2.585339,0.0
1,0.0,0.306122
0,0.569569,0.0
1,0.0,0.297345
1,0.0,3.035804
0,0.962935,0.0
0,4.214047,0.0
0,0.747141,0.0
0,2.971286,0.0
0,4.048193,0.0
0,1.300127,0.118193
0,5.242718,0.0
1,0.0,1.651376
0,5.283019,0.0
1,0.0,0.242389
0,1.263538,0.0
1,0.13346,2.535748
0,1.31632,0.0
1,0.0,1.535088
1,0.0,3.223803
0,4.5677,0.0
1,0.381796,0.52497
1,0.0,2.731707
0,3.255814,0.0
1,0.0,2.502709
1,0.0,0.707912
1,0.0,0.267943
0,0.596012,0.0
1,0.0,2.149712
0,2.107905,0.0
0,4.375,0.0
1,0.0,2.641509
0,0.266953,0.0
0,5.520054,0.0
0,4.977778,0.0
0,2.45691,0.0
0,0.801833,0.0
0,2.213953,0.0
1,0.0,3.548387
0,0.376537,0.0
0,1.513923,0.0
1,0.0,5.816024
0,1.481894,0.0
1,0.156976,0.96428
1,0.0,7.777778
1,0.079096,1.107345
1,0.0,9.333333
0,4.628099,0.0
1,0.0,3.968064
1,0.0,2.068966
1,0.0,0.622914
0,0.270943,0.0
0,0.324525,0.0
1,0.0,2.019231
1,0.0,4.131455
0,2.670906,0.0
1,0.0,1.495549
1,0.0,0.882353
1,0.067324,1.279154
1,0.0,1.392502
1,0.0,1.983003
0,1.863905,0.0
0,2.673611,0.0
0,2.032668,0.0
0,2.009569,0.0
0,1.744054,0.0
0,1.026644,0.0
0,0.635011,0.0
0,1.623711,0.090206
1,0.197926,3.298775
1,0.0,5.179191
0,0.412371,0.0
1,0.0,3.62851
0,1.83642,0.0
0,1.778689,0.0
0,1.969519,0.0
0,1.137124,0.0
1,0.473659,2.57129
0,1.41855,0.0
1,0.0,1.651917
1,0.0,0.542636
0,1.143662,0.0
0,0.88316,0.0
1,0.0,5.114155
0,0.881196,0.0
1,0.0,1.244444
0,6.222222,0.388889
1,0.0,3.636364
1,0.0,1.595285
1,0.0,2.222222
1,0.0,9.41896
1,0.039615,2.812677
1,0.0,3.049505
0,1.493902,0.0
1,0.0,8.115942
1,0.0,0.259339
1,0.033638,0.706391
1,0.0,3.037975
1,0.0,3.769731
0,0.541531,0.0
1,0.482447,0.482447
1,0.0,2.431052
1,0.0,2.955556
1,0.0,2.401961
0,1.937716,0.0
0,4.43299,0.0
0,0.650976,0.0
1,0.0,3.074324
1,0.05571,0.668524
1,0.0,3.36414
0,0.783898,0.0
0,2.971014,0.0
1,0.0,2.30137
1,0.0,5.244957
0,2.978723,0.0
1,0.0,9.626308
1,0.0,3.873518
0,3.263403,0.0
0,1.225166,0.0
1,0.0,0.792079
0,0.596591,0.0
0,1.336626,0.0
0,1.430193,0.0
0,2.950192,0.0
1,0.0,10.043042
1,0.0,3.724138
1,0.0,1.481481
0,0.442249,0.0
0,3.120567,0.0
1,0.0,0.570846
0,1.543645,0.0
0,0.420285,0.0
0,0.851927,0.0
1,0.0,3.844394
1,0.0,0.293758
0,3.37156,0.0
0,2.176428,0.0
1,0.0,5.661765
1,0.324074,1.782407
0,1.353304,0.0
0,0.650407,0.0
0,2.022324,0.0
1,0.0,10.088235
0,2.768987,0.0
0,1.776972,0.0
0,2.204724,0.0
0,1.192813,0.0
0,1.885895,0.110935
1,0.277411,1.941876
0,4.728105,0.0
1,0.0,8.753564
1,0.0,1.320755
0,0.972973,0.0
0,3.916084,0.0
1,0.02968,0.445198
1,0.0,1.931034
0,2.5878,0.0
0,0.554382,0.0
0,3.52,0.0
0,1.749425,0.0
0,0.567376,0.0
0,6.135549,0.034213
1,0.314961,0.472441
1,0.0,3.654938
0,2.381998,0.0
0,0.346078,0.0
0,0.730435,0.0
1,0.0,0.858896
0,8.006182,0.0
0,0.494875,0.0
0,1.134021,0.051546
0,1.596958,0.0
1,0.0,1.580298
0,1.570387,0.0
1,0.0,2.963885
0,1.262887,0.0
0,1.098976,0.0
1,0.0,1.23484
1,0.526316,2.280702
0,0.853008,0.0
0,2.363344,0.0
0,3.255814,0.0
1,0.057863,1.591238
0,7.222222,0.0
1,0.0,2.628285
1,0.292377,0.877132
0,4.140481,0.25878
0,0.975988,0.0
0,0.207612,0.0
1,0.0,5.744431
1,0.0,4.97948
0,2.871795,0.0
1,0.0,1.229176
1,0.0,1.526104
0,1.194313,0.0
1,0.0,3.06099
0,0.713679,0.0
0,1.074561,0.614035
1,0.0,3.843137
0,2.013997,0.054432
1,0.0,5.25
0,0.994671,0.0
0,2.618705,0.0
1,0.0,0.265445
1,0.0,5.445026
1,0.0,1.8245
1,0.0,4.131535
0,2.666667,0.0
0,1.96,0.0
1,0.0,8.599509
1,0.0,16.357388
0,4.836364,0.0
1,0.0,3.030303
0,2.049405,0.0
1,0.0,5.114155
0,0.266921,0.0
0,1.270161,0.0
0,0.676645,0.0
1,0.0,0.992439
1,0.0,8.541114
1,0.0,3.018868
1,0.0,2.575558
0,0.548824,0.0
1,0.0,5.773196
1,0.0,9.97151
0,0.277962,0.0
0,0.411944,0.0
1,0.0,0.287032
1,0.195941,4.506648
1,0.072464,3.26087
0,0.34202,0.0
1,0.085995,0.816953
0,2.520458,0.0
1,0.036852,1.510924
1,0.0,0.495283
0,4.577657,0.0
1,0.0,5.014327
1,0.0,0.290708
1,0.0,6.9661
1,0.0,1.398446
1,0.0,5.793103
0,0.451348,0.0
1,0.0,0.259099
0,1.49413,0.0
0,0.126812,0.063406
1,0.0,4.142857
0,1.80198,0.0
0,1.176471,0.0
1,0.281124,3.654618
0,1.263158,0.0
0,2.202501,0.0
1,0.0,3.627639
1,0.0,0.186047
0,0.322776,0.220847
1,0.0,1.708543
0,1.621845,0.0
0,1.171837,0.0
0,0.123784,0.0
0,1.967614,0.0
0,3.278689,0.0
0,0.787623,0.0
1,0.0,0.29345
1,0.0,4.579439
0,2.61811,0.0
0,0.530949,0.0
1,0.0,2.244489
1,0.237691,1.346916
0,1.188702,0.0
0,1.824645,0.0
0,3.300712,0.0
0,3.086172,0.0
0,1.666667,0.0
0,1.445783,0.0
1,0.0,10.66874
1,0.0,3.820961
0,1.621951,0.0
0,4.108352,0.0
0,3.771044,0.0
0,1.596875,0.0
1,0.0,0.992908
0,4.144737,0.0
0,1.435897,0.0
0,2.723735,0.0
0,3.420702,0.0
1,0.0,4.938272
0,0.653333,0.0
0,1.295012,0.0
1,0.0,1.756549
0,0.25,0.0
1,0.0,1.214374
0,2.054176,0.0
0,0.915033,0.026913
0,6.724891,0.0
1,0.0,1.134752
1,0.987124,1.030043
1,0.0,0.508885
1,0.171569,7.892157
0,1.766562,0.0
1,0.0,0.288511
1,0.0,0.286689
0,4.090909,0.0
0,1.390441,0.0
1,0.0,0.606811
1,0.072277,2.945276
0,1.085271,0.0
0,1.462141,0.0
1,0.0,0.216914
1,0.610465,2.645349
0,3.454545,0.0
0,1.003984,0.0
0,1.593695,0.0
0,2.105263,0.0
0,0.980736,0.0
1,1.26155,0.87667
0,2.692308,0.0
1,0.0,0.268671
0,1.042301,0.0
1,0.0,0.254854
1,0.0,1.905941
0,0.921604,0.0
0,1.374046,0.152672
0,1.894772,0.0
1,0.159817,1.598174
1,0.0,4.327666
0,1.100341,0.0
1,0.0,8.502024
1,0.0,1.639824
1,0.011857,0.960447
0,0.669056,0.0
0,0.774908,0.0
0,1.657895,0.0
0,3.359133,0.0
0,1.797432,0.0
1,1.708414,1.708414
1,0.0,1.407821
0,4.135021,0.0
0,0.603761,0.0
0,1.164953,0.137053
1,0.0,8.66575
1,0.0,1.369612
0,1.021898,0.0
1,1.083871,1.354839
0,3.107822,0.0
1,0.0,3.287671
0,3.175258,0.28866
1,0.0,3.065693
0,3.689991,0.0
0,0.541586,0.0
1,0.0,2.869471
1,0.0,2.622951
1,0.0,2.937063
1,0.0,3.727121
1,0.0,5.753425
1,0.0,0.298454
1,0.0,0.665399
1,0.0,0.29192
0,1.539472,0.0
0,4.218077,0.0
1,0.244444,0.6
1,0.0,3.078803
0,10.137931,0.0
1,0.08547,3.418803
1,0.0,1.896163
1,0.0,3.559322
0,1.671904,0.17599
0,0.45761,0.0
0,2.673943,0.0
1,0.0,0.24619
0,2.063882,0.0
0,3.367698,0.0
0,0.319149,0.0
1,0.121739,5.843478
1,0.0,8.215962
0,4.028777,0.0
1,0.20284,1.203516
0,2.124431,0.0
1,0.0,4.083333
1,0.0,0.266963
0,0.762053,0.0
0,1.495835,0.532416
1,0.125758,3.206827
1,0.0,3.170732
0,0.598433,0.0
0,0.720456,0.0
0,3.719807,0.0
1,0.0,9.243323
0,0.890774,0.0
1,0.03937,0.551181
0,4.468085,0.744681
1,0.0,3.201663
1,0.092613,0.493936
1,0.051188,0.921389
0,1.356589,0.0
1,0.0,0.788732
1,0.0,3.242507
1,0.0,2.730228
0,1.669829,0.0
1,0.0,1.450777
1,0.0,2.451839
1,0.0,3.146067
0,5.764706,0.0
0,0.582195,0.011882
1,0.0,3.322785
0,2.475884,0.0
0,0.422535,0.0
0,1.678936,0.166231
0,2.075634,0.060163
0,3.434343,0.0
0,1.599297,0.0
0,3.218391,0.0
0,0.314002,0.044857
1,0.0,4.074074
0,0.756014,0.0
0,2.45614,0.0
0,0.346821,0.0
0,2.356902,0.707071
0,2.759857,0.0
0,3.636364,0.0
1,0.0,4.658494
1,0.16387,1.584081
1,0.0,3.171521
0,1.498741,0.0
1,0.0,2.3918
0,0.954251,0.0
0,2.073699,0.101156
0,1.17737,0.0
0,1.18803,0.0
1,0.0,3.859649
0,2.222222,0.0
1,0.0,2.339833
1,0.0,10.37037
1,0.0,8.03995
0,2.600619,0.0
0,1.082846,0.0
0,1.585145,0.0
0,1.854305,0.163615
0,2.8,0.0
0,4.715789,0.0
0,0.280175,0.0
1,0.0,0.273304
0,2.138571,0.0
1,0.0,12.471616
1,0.0,4.694611
1,0.0,0.256254
1,0.0,3.129412
0,0.19694,0.09847
0,4.388715,0.0
0,3.050847,0.0
1,0.0,9.25776
1,0.0,10.752351
1,0.037303,1.044498
1,0.047896,1.580568
1,0.0,0.677419
1,0.0,4.224138
1,0.0,1.463636
0,0.505374,0.0
1,0.0,2.970822
0,4.016393,0.0
0,0.437713,0.0
0,0.615508,0.0
0,0.803753,0.0
0,2.25689,0.0
0,1.511737,0.0
1,0.072146,0.360732
0,2.517544,0.0
0,0.60969,0.0
0,1.063781,0.0
1,0.121317,0.566147
1,0.0,5.575221
0,2.366197,0.0
0,0.482871,0.103085
1,0.0,4.191617
1,0.0,3.761545
0,3.858268,0.0
0,0.83809,0.0
1,0.062528,4.814649
0,1.234317,0.031649
0,1.034679,0.0
0,0.676477,0.0
0,1.309227,0.0
1,0.0,4.184309
0,1.259696,0.0
0,5.770065,0.0
1,0.0,1.863118
1,0.0,0.249963
0,2.913776,0.0
0,2.120239,0.0
0,1.178947,0.0
1,0.0,2.625
0,2.060718,0.0
0,0.257799,0.0
1,0.0,10.3003
1,0.215318,4.306367
1,0.0,4.014337
0,0.939211,0.019168
0,2.978723,0.0
1,0.0,2.272727
1,0.102022,0.739661
1,0.0,2.175141
1,0.0,3.548387
0,3.5708,0.0
0,1.515748,0.0
0,3.002681,0.0
1,0.0,5.745772
0,1.704652,0.0
0,0.972632,0.0
0,5.6,0.0
0,1.095101,0.0
0,2.53451,0.0
0,3.317536,0.0
0,0.56701,0.0
1,0.0,2.247191
0,0.629099,0.0
1,0.128558,1.414141
1,0.0,1.083744
1,0.0,9.627507
0,3.622642,0.0
1,0.0,3.649907
0,0.614035,0.0
0,5.185185,0.0
0,2.604962,0.0
1,0.0,3.4375
1,0.0,3.956326
0,3.292683,0.0
1,0.069273,1.870361
0,2.698795,0.0
1,0.0,0.2688
1,0.0,7.175209
0,0.643678,0.0
1,0.0,0.261641
1,0.0,10.66874
0,0.986494,0.0
1,0.0,2.921348
0,0.866337,0.0
1,0.0,7.287671
1,0.0,12.622951
0,4.154303,0.0
0,5.04,0.0
1,0.0,4.221106
0,2.537068,0.0
1,0.011862,0.948992
1,0.168499,0.336998
0,0.339806,0.0
0,2.258065,0.0
1,0.0,8.532423
1,0.250223,1.376229
0,1.75219,0.0
1,0.0,2.653525
0,2.420561,0.0
1,0.0,2.236422
0,2.923434,0.0
0,1.049475,0.209895
1,0.0,0.304845
0,0.339329,0.035719
0,1.7201,0.0
1,0.0,3.493761
1,0.0,4.907498
1,0.0,0.992908
1,0.0,0.296192
1,0.0,0.084768
0,4.666667,0.0
1,0.0,4.472843
1,0.0,8.166667
0,1.039604,0.034653
1,0.0,3.309693
0,1.186441,0.0
0,0.22333,0.0
1,0.0,7.0
1,0.0,1.789709
0,1.366083,0.0
1,0.0,5.004062
1,0.0,0.296234
1,0.0,5.447471
1,0.0,9.346314
1,0.0,2.269504
1,0.0,5.46875
0,0.864198,0.0
1,0.0,3.349282
0,5.384615,0.0
1,0.0,3.165829
1,0.0,2.133333
0,2.224299,0.0
0,1.286617,0.0
0,0.501792,0.0
1,0.0,2.562929
1,0.0,2.017291
0,0.985915,0.0
0,1.869159,0.0
1,0.0,2.345059
1,0.0,0.782123
0,1.906103,0.0
0,5.894737,0.0
1,0.0,2.748466
0,1.621951,0.0
1,0.0,0.228075
1,0.0,3.958333
1,0.0,8.451444
0,1.278323,0.0
0,3.503244,0.0
1,0.0,22.934473
0,4.745763,0.0
0,1.844532,0.0
1,0.0,2.53012
1,0.938967,0.657277
1,0.0,6.815416
0,0.222147,0.0
1,0.0,5.097087
1,0.0,1.166667
0,6.588235,0.0
1,0.0,1.794872
0,1.271406,0.0
1,0.0,3.317536
1,0.0,3.107658
0,0.586549,0.0
0,1.440823,0.0
1,0.0,4.125737
1,0.0,5.645161
0,2.107527,0.0
0,1.425339,0.0
1,0.0,3.060109
0,0.705685,0.039205
1,0.0,0.741918
0,6.363636,0.0
1,0.0,2.40404
0,0.469236,1.039023
0,1.7383,0.0
1,0.134615,0.942308
0,0.737659,0.038824
0,0.759219,0.0
1,0.082596,0.578171
0,4.633902,0.0
0,0.185349,0.0
1,0.566229,1.274014
0,1.926895,0.0
0,4.468085,0.0
0,0.505747,0.0
1,0.0,7.146172
0,0.689192,0.0
0,1.514878,0.0
1,0.0,4.988124
0,1.124317,0.0
0,4.043321,0.0
1,0.0,4.592346
1,0.325203,1.138211
0,0.892857,0.0
0,2.534701,0.0
1,0.0,2.851324
1,0.0,0.244541
0,3.370593,0.0
1,0.287474,0.718686
1,0.0,1.08907
1,0.0,1.463952
1,0.0,5.13089
1,0.128598,5.015309
1,0.0,1.451852
0,0.325419,0.0
1,0.0,8.632708
